id,scenario_run_id,session_id,event_type,duration_ms,timestamp
9924db50-d36b-42b3-9ba6-2d2fe678956c,e9dd0176-bc6b-4da8-8d9a-77459fdcb661,9ed086ef-d5d4-4b14-9795-56297b0b9c25,SCENARIO_STARTED,,2025-03-01T09:00:00
1238f604-bbf7-4cf9-877a-736633482d5b,e9dd0176-bc6b-4da8-8d9a-77459fdcb661,9ed086ef-d5d4-4b14-9795-56297b0b9c25,WARNING_SHOWN,,2025-03-01T09:00:04.945885
418483c8-fd3a-4093-aa1d-e14331123b87,e9dd0176-bc6b-4da8-8d9a-77459fdcb661,9ed086ef-d5d4-4b14-9795-56297b0b9c25,WARNING_READ,14105,2025-03-01T09:00:05.945885
a7d3fb28-eeaa-4620-b863-fc511335dcf3,e9dd0176-bc6b-4da8-8d9a-77459fdcb661,9ed086ef-d5d4-4b14-9795-56297b0b9c25,WARNING_DISMISSED,2249,2025-03-01T09:00:06.945885
55797bb4-d8c5-4036-a7c6-9384fc8491ff,e9dd0176-bc6b-4da8-8d9a-77459fdcb661,9ed086ef-d5d4-4b14-9795-56297b0b9c25,RETURN_TO_WARNING,,2025-03-01T09:00:12.945885
5fbe38fd-5740-4923-adfa-bd778143483c,e9dd0176-bc6b-4da8-8d9a-77459fdcb661,9ed086ef-d5d4-4b14-9795-56297b0b9c25,SCENARIO_COMPLETED,,2025-03-01T09:00:52.996314
6d9a6fab-601e-4a10-bae0-da6ecb821d2f,e57ca302-26e1-4669-be34-2df9bcf939ec,9ed086ef-d5d4-4b14-9795-56297b0b9c25,SCENARIO_STARTED,,2025-03-01T09:04:00
d2a0ee23-273b-479e-af5d-e72be001deb0,e57ca302-26e1-4669-be34-2df9bcf939ec,9ed086ef-d5d4-4b14-9795-56297b0b9c25,WARNING_SHOWN,,2025-03-01T09:04:02.795351
790c80d0-97a9-425a-916b-05509f3d9845,e57ca302-26e1-4669-be34-2df9bcf939ec,9ed086ef-d5d4-4b14-9795-56297b0b9c25,WARNING_READ,7985,2025-03-01T09:04:03.795351
0a3333da-c8f4-4a98-841a-6796f275127f,e57ca302-26e1-4669-be34-2df9bcf939ec,9ed086ef-d5d4-4b14-9795-56297b0b9c25,WARNING_DISMISSED,2188,2025-03-01T09:04:04.795351
8fe9659d-b6e1-403f-95aa-d3387130eb67,e57ca302-26e1-4669-be34-2df9bcf939ec,9ed086ef-d5d4-4b14-9795-56297b0b9c25,SCENARIO_COMPLETED,,2025-03-01T09:04:57.085926
903d9e8b-a1d3-48a2-a337-5d63cc541a33,e959f003-f5b9-4e23-93d9-86f9f8f435a4,9ed086ef-d5d4-4b14-9795-56297b0b9c25,SCENARIO_STARTED,,2025-03-01T09:08:00
9a94ef26-de2a-4096-946b-2ba3307c4c9c,e959f003-f5b9-4e23-93d9-86f9f8f435a4,9ed086ef-d5d4-4b14-9795-56297b0b9c25,WARNING_SHOWN,,2025-03-01T09:08:05.828852
04fb9420-dc2e-4478-8b77-d9948a30d8da,e959f003-f5b9-4e23-93d9-86f9f8f435a4,9ed086ef-d5d4-4b14-9795-56297b0b9c25,WARNING_READ,9871,2025-03-01T09:08:06.828852
f7a94179-d2b8-4f0a-a4b0-2758f426d2dd,e959f003-f5b9-4e23-93d9-86f9f8f435a4,9ed086ef-d5d4-4b14-9795-56297b0b9c25,WARNING_DISMISSED,2817,2025-03-01T09:08:07.828852
fc1dda8d-c40f-4247-8fed-b31a92cc3cf1,e959f003-f5b9-4e23-93d9-86f9f8f435a4,9ed086ef-d5d4-4b14-9795-56297b0b9c25,SCENARIO_COMPLETED,,2025-03-01T09:08:49.379008
46a1f2b4-d707-4890-996c-8e64af90541d,0879c81b-1934-424f-91d1-da7708191721,9ed086ef-d5d4-4b14-9795-56297b0b9c25,SCENARIO_STARTED,,2025-03-01T09:12:00
a487053e-b868-43a7-9493-8f0b845f9ebb,0879c81b-1934-424f-91d1-da7708191721,9ed086ef-d5d4-4b14-9795-56297b0b9c25,WARNING_SHOWN,,2025-03-01T09:12:04.144912
52fc7254-83a3-4f9c-9b0d-563e267776bf,0879c81b-1934-424f-91d1-da7708191721,9ed086ef-d5d4-4b14-9795-56297b0b9c25,WARNING_READ,9484,2025-03-01T09:12:05.144912
80938f72-500b-4175-aae3-ecd0ec02b826,0879c81b-1934-424f-91d1-da7708191721,9ed086ef-d5d4-4b14-9795-56297b0b9c25,WARNING_DISMISSED,2868,2025-03-01T09:12:06.144912
e13e8701-769b-42cf-b0b8-202353088326,0879c81b-1934-424f-91d1-da7708191721,9ed086ef-d5d4-4b14-9795-56297b0b9c25,SCENARIO_COMPLETED,,2025-03-01T09:13:14.931670
d7288d23-cc34-40d5-b1cb-1e7caeeaa8e7,f50ad8f7-828b-4f75-9ff9-abcbf020a15b,9ed086ef-d5d4-4b14-9795-56297b0b9c25,SCENARIO_STARTED,,2025-03-01T09:16:00
5b5f820f-fe97-4f05-b1e1-a98e2a004117,f50ad8f7-828b-4f75-9ff9-abcbf020a15b,9ed086ef-d5d4-4b14-9795-56297b0b9c25,WARNING_SHOWN,,2025-03-01T09:16:02.911593
