id,scenario_run_id,session_id,perceived_friction,trust_score,warning_helpful,submitted_at
9efc4b13-9984-4aa4-80cf-ac683ae64b98,e9dd0176-bc6b-4da8-8d9a-77459fdcb661,9ed086ef-d5d4-4b14-9795-56297b0b9c25,4,3,False,2025-03-01T09:01:22.996314
83b02fb7-2216-4d02-94e3-b388dd4a56bb,e57ca302-26e1-4669-be34-2df9bcf939ec,9ed086ef-d5d4-4b14-9795-56297b0b9c25,4,2,False,2025-03-01T09:05:27.085926
4bd5a9e0-df42-4136-8f17-c40d05cf98a6,e959f003-f5b9-4e23-93d9-86f9f8f435a4,9ed086ef-d5d4-4b14-9795-56297b0b9c25,6,5,True,2025-03-01T09:09:19.379008
7813da27-df67-439d-8211-20b1e23b22e0,0879c81b-1934-424f-91d1-da7708191721,9ed086ef-d5d4-4b14-9795-56297b0b9c25,4,2,True,2025-03-01T09:13:44.931670
0d883080-5d58-488f-8303-8bd3cfd35bea,f50ad8f7-828b-4f75-9ff9-abcbf020a15b,9ed086ef-d5d4-4b14-9795-56297b0b9c25,6,3,False,2025-03-01T09:17:23.447611
5c844ae6-749e-49ed-9530-4b56e5b5acbe,47a047e4-f159-4959-8d05-bdebb64a0043,7a090b69-f25c-4488-86b7-95eb1ef222e4,4,5,True,2025-03-01T10:02:07.043576
bf6a5663-9488-419c-bd6e-044935be6a96,0b288e6e-d450-4748-a46e-2a8ee5757259,7a090b69-f25c-4488-86b7-95eb1ef222e4,6,3,True,2025-03-01T10:05:42.152124
0adbdffb-af17-4066-93d8-a60d88a812c7,1bdc6b06-a0f3-473f-9086-64d2e52712ef,7a090b69-f25c-4488-86b7-95eb1ef222e4,6,4,True,2025-03-01T10:09:37.314815
1d06ffbd-4fa3-46dd-a98b-c5fa0b35a79f,9ebaf715-36ec-4316-89fb-6bd9c364030e,7a090b69-f25c-4488-86b7-95eb1ef222e4,6,3,False,2025-03-01T10:13:39.557198
36014792-8af7-4b98-9362-95ca5f624aea,6691e467-fdc5-4ebe-9e8f-abe3c8fdcaa8,7a090b69-f25c-4488-86b7-95eb1ef222e4,7,3,True,2025-03-01T10:17:28.023449
b7e9cbbf-5164-445a-8b50-219e367fd0a1,4e0ca85d-648f-4dab-a102-2fd2af91ae69,d9d06993-58f9-4351-9291-53d7adcfadf8,5,4,True,2025-03-02T11:01:06.845625
c63203b1-0379-40ab-9555-befeed08b0d4,5d64a655-acb1-4783-86dc-71ed5070cb95,d9d06993-58f9-4351-9291-53d7adcfadf8,4,3,True,2025-03-02T11:06:00.816427
3b1c106f-4caf-4736-b724-1be020fa10de,d44a4465-dace-46a9-8713-135fb428a56a,d9d06993-58f9-4351-9291-53d7adcfadf8,5,5,False,2025-03-02T11:10:06.101766
36774409-f13c-4202-9af4-b9322400e021,54a1008e-8167-4691-bbca-4d5267610d13,d9d06993-58f9-4351-9291-53d7adcfadf8,5,3,True,2025-03-02T11:12:54.743513
63389dab-eb48-4796-9a8b-1ede16c0a3ad,e3d7f206-4a6c-4b1a-882e-6c8a9d7058aa,d9d06993-58f9-4351-9291-53d7adcfadf8,7,2,False,2025-03-02T11:16:56.757974
dd49c64f-a2dd-4bed-9f77-438aae2d8ad5,3e3ac802-b2fc-4b7c-95c3-97eedb8107ff,19964231-e628-4adf-b644-0ac3c14faf12,6,2,False,2025-03-02T12:01:31.787236
c3511da8-4260-43ab-9378-e9083307a8f7,ed0d7f46-d324-4802-9d6e-f98eca1a89a1,19964231-e628-4adf-b644-0ac3c14faf12,6,2,True,2025-03-02T12:04:53.921744
f4d8760b-8768-4dec-9c0f-7059d4bb1801,30cfb32b-e3ab-47b5-a1de-40e59062815d,19964231-e628-4adf-b644-0ac3c14faf12,5,5,False,2025-03-02T12:09:32.931703
d9ade2b5-8405-4bc1-a1be-e20dc11314b5,fb063c58-81b3-4d79-aedf-e21bd11fa72d,19964231-e628-4adf-b644-0ac3c14faf12,5,3,True,2025-03-02T12:13:12.172001
30b9cb4f-d24f-49c1-a663-cfaf4caa0890,a1fcd10d-a85b-4dac-91d0-7eb301cfcd54,19964231-e628-4adf-b644-0ac3c14faf12,5,3,True,2025-03-02T12:17:23.196444
686eb2c8-0ddc-403e-97d5-ddc33ec0b73c,e5a26905-eb07-4c82-b5a2-300fd3930987,1ff600a8-2e93-4773-988d-bef0dc8f03b0,7,4,True,2025-03-03T13:01:47.920696
6eb54e6e-abab-4121-829e-e47587d59020,d2678bc7-0bf9-49cb-8895-21f8c500c36a,1ff600a8-2e93-4773-988d-bef0dc8f03b0,6,3,False,2025-03-03T13:05:20.373777
d67b3c89-35b6-485a-8ba5-aec862ba487c,1ca4b7ea-1305-4096-9f5e-16c6748ba7da,1ff600a8-2e93-4773-988d-bef0dc8f03b0,7,2,True,2025-03-03T13:09:25.844485
6e1452b1-181d-4003-aaac-8bce51dfff07,4f487734-9973-4c3f-beb3-5fdff3931a3a,1ff600a8-2e93-4773-988d-bef0dc8f03b0,5,4,False,2025-03-03T13:13:12.207863
cb747524-a50e-4083-b2a4-56b59e2683f5,ce186789-8044-4fc8-b332-8bb58edf61f4,1ff600a8-2e93-4773-988d-bef0dc8f03b0,6,3,True,2025-03-03T13:17:42.895981
835b30bb-7917-4e8c-aba3-3fab1628e99d,1b6f0e21-5bdf-425e-8f02-52eee6488a0c,87abf598-c2fa-432b-803c-20075d738060,6,4,True,2025-03-03T14:01:00.727953
38461f93-787d-4de9-81d6-453bc1bba9fa,57f4325c-f85c-4a51-84b9-a94ae57c3340,87abf598-c2fa-432b-803c-20075d738060,5,2,True,2025-03-03T14:05:42.873886
41196646-283e-460e-9270-7b20551748bb,8ec48def-f50b-4f41-bd15-13fbea0b734d,87abf598-c2fa-432b-803c-20075d738060,7,3,True,2025-03-03T14:09:14.473390
bd6e18ce-159b-4ec7-aead-3f3590a26056,dbf6e33b-b271-4c74-8338-306349d45d1a,87abf598-c2fa-432b-803c-20075d738060,7,4,True,2025-03-03T14:13:06.977249
bacef511-cb41-4de6-9c17-2108bf6d2501,e23d9bf9-4051-4b58-b480-0ad344b9ab46,87abf598-c2fa-432b-803c-20075d738060,7,1,False,2025-03-03T14:17:12.166926
156158e3-138b-4574-930c-9658a311b575,a25fc1ca-4b28-4c6d-bc4f-39fa071ec161,c1ffacd1-36ff-4937-853b-e246ad3653b0,6,3,True,2025-03-04T15:01:57.457028
44e2bafb-32e0-4902-9725-34f715a7cc13,6393d2fb-3ab5-49ba-9f77-b66717c5cdac,c1ffacd1-36ff-4937-853b-e246ad3653b0,7,4,True,2025-03-04T15:05:08.882724
60de9475-7f7e-4c43-93ba-a093617d16c8,d96dde36-94f3-4316-bdbe-a04e5ea2359d,c1ffacd1-36ff-4937-853b-e246ad3653b0,6,3,True,2025-03-04T15:09:10.114715
6354c9f1-50cd-48ca-8d83-95c97f26f627,0368383e-ccd5-4868-a9bc-b06f3e3af75c,c1ffacd1-36ff-4937-853b-e246ad3653b0,6,3,True,2025-03-04T15:13:40.042866
18d3a36b-30dd-4c80-9078-7350e8d279ea,cb6c4c29-9562-4573-8e29-e9845f2233fe,c1ffacd1-36ff-4937-853b-e246ad3653b0,5,2,True,2025-03-04T15:17:24.163376
205b6551-752b-4b8b-985d-eec77fc4d514,b336b6a4-ff52-497c-9a32-d63351dec8b4,7ebf92a2-9ffc-4079-bf0d-c3c40dba441f,6,2,False,2025-03-04T16:01:14.910319
b96e9faf-48a1-474e-b09f-43118ac75a00,319c0b59-e140-449e-8e16-ed2d468017de,7ebf92a2-9ffc-4079-bf0d-c3c40dba441f,6,4,True,2025-03-04T16:05:20.185136
ff6138cd-f496-4acd-b106-74686440c6d5,c4d3f33c-48be-4091-9780-1f25a14d95a9,7ebf92a2-9ffc-4079-bf0d-c3c40dba441f,7,3,True,2025-03-04T16:09:38.484121
