id,scenario_run_id,session_id,perceived_friction,trust_score,warning_helpful,submitted_at
70b4166d-5de7-4ea5-bd6c-e5e2eaa37af6,9fdd3d8e-1e99-4d62-90e2-802ba47ac030,21ebb897-f50a-4182-97e8-7d5de3c55397,3,3,,2025-03-01T09:01:10.395251
491557be-0f06-407e-bb3c-c5fdccadf0ad,099a0694-3e73-4996-88c0-cb2a48641648,21ebb897-f50a-4182-97e8-7d5de3c55397,5,4,True,2025-03-01T09:04:56.567229
e201ae08-f614-405b-a952-36542c580aaa,ee4f3816-9749-474f-9ad4-d4547c4f3200,21ebb897-f50a-4182-97e8-7d5de3c55397,4,3,False,2025-03-01T09:09:17.500436
e1540d3e-3bcf-4eb6-afb9-0a3ebca92ef6,a02d0156-226d-428e-9ab7-5594f750744a,21ebb897-f50a-4182-97e8-7d5de3c55397,5,4,True,2025-03-01T09:12:48.465762
af9f000f-cf63-41f3-9f45-6a8e81fe74d5,fcd98966-e3fc-4185-8cef-30e25b9f38f2,21ebb897-f50a-4182-97e8-7d5de3c55397,4,5,True,2025-03-01T09:17:37.454596
d2a88013-0cc6-4dfd-b78e-42463a999c32,e1fdff32-60b8-4d1d-8a57-c5e3aa68c0f0,027beda9-9300-4969-b1a6-aac303484e37,1,3,False,2025-03-01T10:01:10.505693
ab5dd1e5-6aef-4e74-821d-394b7a645489,3c35f0c4-e2a8-4a71-ac5b-fa5d172de5e4,027beda9-9300-4969-b1a6-aac303484e37,5,5,True,2025-03-01T10:04:59.926742
d6e85b39-8dd8-4969-8576-d0e2f9ad4b4c,d8b32378-8cc4-47d3-89d5-7a285c8b93de,027beda9-9300-4969-b1a6-aac303484e37,3,2,True,2025-03-01T10:09:16.627241
faed4815-85ab-4cdd-b23d-593a83496773,d4cb3fe7-8639-4ca2-89d4-5bfe4ddccf0f,027beda9-9300-4969-b1a6-aac303484e37,5,4,True,2025-03-01T10:13:02.923533
f13d84de-4977-4ca4-8dd2-22f9c00c7112,8ead9648-0ccf-4953-a68a-bad592f53720,027beda9-9300-4969-b1a6-aac303484e37,3,4,True,2025-03-01T10:17:33.556810
089125a6-d6cc-4c3c-b86b-2d759a128f0c,ed5019b7-1dc9-4a89-8ae3-0e048bc7fd22,1a6e239a-bda2-4356-98f3-bbd7e38de5a0,5,3,True,2025-03-02T11:01:30.776790
b0659744-85ed-44cc-a559-f43ce4bfd72d,22f50bda-847f-468e-8e3f-93496c45f276,1a6e239a-bda2-4356-98f3-bbd7e38de5a0,5,3,True,2025-03-02T11:05:32.541569
4ef5055d-e303-48f6-a036-6a8a462c1d45,68fea507-e6ea-4480-9ded-43afec197702,1a6e239a-bda2-4356-98f3-bbd7e38de5a0,5,4,False,2025-03-02T11:09:37.860845
c14abc8d-a75c-4def-9e39-cb03bfff5d12,888af673-7aa8-4b0f-a26b-34b53a3e6a1d,1a6e239a-bda2-4356-98f3-bbd7e38de5a0,4,5,False,2025-03-02T11:13:44.756895
0f1a3c64-e5c4-4acb-af1d-51e9e6c29f93,43a15a6c-22fd-4e18-a561-6f4a86b06e9a,1a6e239a-bda2-4356-98f3-bbd7e38de5a0,5,4,True,2025-03-02T11:16:47.891530
b8da973e-70c6-460f-a7b7-de8bd9960ca5,1a7bd0aa-c287-4b42-a4af-53714e26ac54,161d990d-6ff4-4561-bdb7-e35dd551c32c,5,3,False,2025-03-02T12:01:33.539166
01f04c65-f754-4b3a-a8dc-405df37d3607,30763ca6-345e-4a47-a139-ed50127bb60f,161d990d-6ff4-4561-bdb7-e35dd551c32c,4,4,True,2025-03-02T12:05:28.339202
ebe9d5df-1128-4bb6-8fea-266aedd793fd,3112fd59-4faa-45c7-ac66-068ec630cc62,161d990d-6ff4-4561-bdb7-e35dd551c32c,3,5,,2025-03-02T12:09:24.206345
bc05e557-739c-44f9-b89b-1235f0e46227,8ea54ac0-c204-4a09-804f-c5e68707b6a1,161d990d-6ff4-4561-bdb7-e35dd551c32c,3,4,,2025-03-02T12:13:26.206184
65fe177f-cd8c-4873-9626-13d5ab2c0c7d,11f1d5a1-b372-4bcf-b39f-31b3f07677f6,161d990d-6ff4-4561-bdb7-e35dd551c32c,6,5,True,2025-03-02T12:17:30.249201
756cee83-1d89-4c21-9967-903413ca59ff,78353cdf-6e2b-4a46-a3a4-69c1dbb5c4ee,30e921b5-7503-4b00-9b0b-cd5f3314ee16,1,4,,2025-03-03T13:01:16.833392
0d210f02-f848-4425-95d3-f760107d4776,7c073487-1d76-4c18-8111-ddd3ef474065,30e921b5-7503-4b00-9b0b-cd5f3314ee16,2,5,,2025-03-03T13:05:21.220392
05c8d070-c4df-4075-952d-ed852d7226db,98bbc1ae-f99d-4cac-b494-da577aafae65,30e921b5-7503-4b00-9b0b-cd5f3314ee16,5,5,True,2025-03-03T13:09:05.569994
e3a7b6ab-c3d4-4cd7-a1b9-4d92fa7b0609,03825387-7c0d-4412-8da5-113b22715a0c,30e921b5-7503-4b00-9b0b-cd5f3314ee16,5,4,True,2025-03-03T13:13:04.145250
